Date,Fear Greed,SPY_Close
2013-03-13,77,155.89999389648438
2013-03-14,79,156.72999572753906
2013-03-15,77,155.8300018310547
2013-03-18,70,154.97000122070312
2013-03-19,73,154.61000061035156
2013-03-20,69,155.69000244140625
2013-03-21,69,154.36000061035156
2013-03-22,69,155.60000610351562
2013-03-25,70,154.9499969482422
2013-03-26,68,156.19000244140625
2013-03-27,70,156.19000244140625
2013-03-28,72,156.6699981689453
2013-04-01,63,156.0500030517578
2013-04-02,63,156.82000732421875
2013-04-03,59,155.22999572753906
2013-04-04,55,155.86000061035156
2013-04-05,52,155.16000366210938
2013-04-08,53,156.2100067138672
2013-04-09,56,156.75
2013-04-10,56,158.6699981689453
2013-04-11,57,159.19000244140625
2013-04-12,57,158.8000030517578
2013-04-15,41,155.1199951171875
2013-04-16,52,157.41000366210938
2013-04-17,47,155.11000061035156
2013-04-18,35,154.13999938964844
2013-04-19,41,155.47999572753906
2013-04-22,42,156.1699981689453
2013-04-23,46,157.77999877929688
2013-04-24,48,157.8800048828125
2013-04-25,53,158.52000427246094
2013-04-26,53,158.24000549316406
2013-04-29,60,159.3000030517578
2013-04-30,61,159.67999267578125
2013-05-01,62,158.27999877929688
2013-05-02,63,159.75
2013-05-03,64,161.3699951171875
2013-05-06,73,161.77999877929688
2013-05-07,78,162.60000610351562
2013-05-08,77,163.33999633789062
2013-05-09,76,162.8800048828125
2013-05-10,77,163.41000366210938
2013-05-13,80,163.5399932861328
2013-05-14,86,165.22999572753906
2013-05-15,87,166.1199951171875
2013-05-16,85,165.33999633789062
2013-05-17,91,166.94000244140625
2013-05-20,83,166.92999267578125
2013-05-21,83,167.1699981689453
2013-05-22,83,165.92999267578125
2013-05-23,80,165.4499969482422
2013-05-24,75,165.30999755859375
2013-05-28,67,166.3000030517578
2013-05-29,66,165.22000122070312
2013-05-30,72,165.8300018310547
2013-05-31,60,163.4499969482422
2013-06-03,55,164.35000610351562
2013-06-04,48,163.55999755859375
2013-06-05,32,161.27000427246094
2013-06-06,34,162.72999572753906
2013-06-07,40,164.8000030517578
2013-06-10,34,164.8000030517578
2013-06-11,31,163.10000610351562
2013-06-12,30,161.75
2013-06-13,30,164.2100067138672
2013-06-14,29,163.17999267578125
2013-06-17,24,164.44000244140625
2013-06-18,24,165.74000549316406
2013-06-19,21,163.4499969482422
2013-06-20,19,159.39999389648438
2013-06-21,19,159.07000732421875
2013-06-24,18,157.05999755859375
2013-06-25,19,158.57000732421875
2013-06-26,20,160.13999938964844
2013-06-27,21,161.0800018310547
2013-06-28,22,160.4199981689453
2013-07-01,25,161.36000061035156
2013-07-02,29,161.2100067138672
2013-07-03,30,161.27999877929688
2013-07-05,38,163.02000427246094
2013-07-08,40,163.9499969482422
2013-07-09,48,165.1300048828125
2013-07-10,49,165.19000244140625
2013-07-11,51,167.44000244140625
2013-07-12,61,167.50999450683594
2013-07-15,60,168.14999389648438
2013-07-16,62,167.52000427246094
2013-07-17,57,167.9499969482422
2013-07-18,62,168.8699951171875
2013-07-19,68,169.1699981689453
2013-07-22,63,169.5
2013-07-23,65,169.13999938964844
2013-07-24,64,168.52000427246094
2013-07-25,62,168.92999267578125
2013-07-26,64,169.11000061035156
2013-07-29,59,168.58999633789062
2013-07-30,62,168.58999633789062
2013-07-31,61,168.7100067138672
2013-08-01,68,170.66000366210938
2013-08-02,62,170.9499969482422
2013-08-05,61,170.6999969482422
2013-08-06,54,169.72999572753906
2013-08-07,47,169.17999267578125
2013-08-08,52,169.8000030517578
2013-08-09,44,169.30999755859375
2013-08-12,50,169.11000061035156
2013-08-13,50,169.61000061035156
2013-08-14,46,168.74000549316406
2013-08-15,43,166.3800048828125
2013-08-16,39,165.8300018310547
2013-08-19,32,164.77000427246094
2013-08-20,26,165.5800018310547
2013-08-21,26,164.55999755859375
2013-08-22,32,166.05999755859375
2013-08-23,27,166.6199951171875
2013-08-26,25,166.0
2013-08-27,18,163.3300018310547
2013-08-28,24,163.91000366210938
2013-08-29,23,164.1699981689453
2013-08-30,20,163.64999389648438
2013-09-03,17,164.38999938964844
2013-09-04,28,165.75
2013-09-05,33,165.9600067138672
2013-09-06,36,166.0399932861328
2013-09-09,43,167.6300048828125
2013-09-10,52,168.8699951171875
2013-09-11,47,169.39999389648438
2013-09-12,46,168.9499969482422
2013-09-13,48,169.3300018310547
2013-09-16,50,170.30999755859375
2013-09-17,54,171.07000732421875
2013-09-18,56,173.0500030517578
2013-09-19,62,172.75999450683594
2013-09-20,57,170.72000122070312
2013-09-23,49,169.92999267578125
2013-09-24,48,169.52999877929688
2013-09-25,47,169.0399932861328
2013-09-26,39,169.69000244140625
2013-09-27,41,168.91000366210938
2013-09-30,35,168.00999450683594
2013-10-01,40,169.33999633789062
2013-10-02,35,169.17999267578125
2013-10-03,29,167.6199951171875
2013-10-04,34,168.88999938964844
2013-10-07,27,167.42999267578125
2013-10-08,20,165.47999572753906
2013-10-09,29,165.60000610351562
2013-10-10,35,169.1699981689453
2013-10-11,31,170.25999450683594
2013-10-14,39,170.94000244140625
2013-10-15,39,169.6999969482422
2013-10-16,46,172.07000732421875
2013-10-17,48,173.22000122070312
2013-10-18,56,174.38999938964844
2013-10-21,53,174.39999389648438
2013-10-22,55,175.41000366210938
2013-10-23,61,174.57000732421875
2013-10-24,62,175.14999389648438
2013-10-25,62,175.9499969482422
2013-10-28,64,176.22999572753906
2013-10-29,64,177.1699981689453
2013-10-30,64,176.2899932861328
2013-10-31,66,175.7899932861328
2013-11-01,67,176.2100067138672
2013-11-04,68,176.8300018310547
2013-11-05,68,176.27000427246094
2013-11-06,68,177.1699981689453
2013-11-07,68,174.92999267578125
2013-11-08,68,177.2899932861328
2013-11-11,67,177.32000732421875
2013-11-12,69,176.9600067138672
2013-11-13,70,178.3800048828125
2013-11-14,70,179.27000427246094
2013-11-15,71,180.0500030517578
2013-11-18,71,179.4199981689453
2013-11-19,67,179.02999877929688
2013-11-20,68,178.47000122070312
2013-11-21,68,179.91000366210938
2013-11-22,68,180.80999755859372
2013-11-25,66,180.6300048828125
2013-11-26,64,180.67999267578125
2013-11-27,67,181.1199951171875
2013-11-29,70,181.0
2013-12-02,66,180.52999877929688
2013-12-03,65,179.75
2013-12-04,65,179.72999572753906
2013-12-05,57,178.94000244140625
2013-12-06,63,180.94000244140625
2013-12-09,53,181.3999938964844
2013-12-10,52,180.75
2013-12-11,51,178.72000122070312
2013-12-12,43,178.1300048828125
2013-12-13,38,178.11000061035156
2013-12-16,45,179.22000122070312
2013-12-17,38,178.64999389648438
2013-12-18,49,181.6999969482422
2013-12-19,50,181.4900054931641
2013-12-20,52,181.55999755859372
2013-12-23,61,182.52999877929688
2013-12-24,66,182.92999267578125
2013-12-26,63,183.8600006103516
2013-12-27,72,183.8500061035156
2013-12-30,70,183.82000732421875
2013-12-31,77,184.69000244140625
2014-01-02,71,182.9199981689453
2014-01-03,66,182.88999938964844
2014-01-06,64,182.3600006103516
2014-01-07,67,183.47999572753903
2014-01-08,64,183.5200042724609
2014-01-09,68,183.63999938964844
2014-01-10,66,184.13999938964844
2014-01-13,61,181.69000244140625
2014-01-14,68,183.6699981689453
2014-01-15,65,184.66000366210935
2014-01-16,63,184.4199981689453
2014-01-17,59,183.63999938964844
2014-01-21,62,184.17999267578125
2014-01-22,45,184.3000030517578
2014-01-23,46,182.7899932861328
2014-01-24,27,178.88999938964844
2014-01-27,25,178.00999450683594
2014-01-28,29,179.07000732421875
2014-01-29,20,177.35000610351562
2014-01-30,18,179.22999572753906
2014-01-31,20,178.17999267578125
2014-02-03,13,174.1699981689453
2014-02-04,15,175.38999938964844
2014-02-05,20,175.1699981689453
2014-02-06,17,177.47999572753906
2014-02-07,22,179.67999267578125
2014-02-10,28,180.00999450683594
2014-02-11,29,181.97999572753903
2014-02-12,32,182.07000732421875
2014-02-13,32,183.00999450683597
2014-02-14,30,184.0200042724609
2014-02-18,42,184.2400054931641
2014-02-19,39,183.0200042724609
2014-02-20,45,184.1000061035156
2014-02-21,48,183.88999938964844
2014-02-24,55,184.91000366210935
2014-02-25,57,184.83999633789065
2014-02-26,58,184.8500061035156
2014-02-27,62,185.82000732421875
2014-02-28,56,186.2899932861328
2014-03-03,63,184.97999572753903
2014-03-04,66,187.5800018310547
2014-03-05,78,187.75
2014-03-06,80,188.17999267578125
2014-03-07,81,188.25999450683597
2014-03-10,81,188.16000366210935
2014-03-11,76,187.22999572753903
2014-03-12,57,187.27999877929688
2014-03-13,49,185.17999267578125
2014-03-14,44,184.66000366210935
2014-03-17,49,186.3300018310547
2014-03-18,51,187.66000366210935
2014-03-19,53,186.66000366210935
2014-03-20,54,187.75
2014-03-21,56,186.1999969482422
2014-03-24,49,185.42999267578125
2014-03-25,43,186.30999755859372
2014-03-26,43,184.97000122070312
2014-03-27,34,184.5800018310547
2014-03-28,36,185.4900054931641
2014-03-31,50,187.00999450683597
2014-04-01,51,188.25
2014-04-02,53,188.8800048828125
2014-04-03,51,188.6300048828125
2014-04-04,49,186.3999938964844
2014-04-07,35,184.33999633789065
2014-04-08,34,185.1000061035156
2014-04-09,31,187.08999633789065
2014-04-10,31,183.16000366210935
2014-04-11,21,181.50999450683597
2014-04-14,23,182.94000244140625
2014-04-15,23,184.1999969482422
2014-04-16,28,186.1300048828125
